Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 124780.0, res = 21836.0, shr = 13240.0, s = 'S', cpu = 59.9, mem = 0.1, time = "0:00.09"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 134460.0, res = 34024.0, shr = 15592.0, s = 'R', cpu = 99.8, mem = 0.2, time = "0:00.24"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 191904.0, res = 77420.0, shr = 17760.0, s = 'R', cpu = 99.9, mem = 0.5, time = "0:00.39"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 218528.0, res = 105404.0, shr = 18952.0, s = 'R', cpu = 99.9, mem = 0.6, time = "0:00.54"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 220988.0, res = 109304.0, shr = 19780.0, s = 'R', cpu = 99.9, mem = 0.7, time = "0:00.70"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 121236.0, shr = 21232.0, s = 'S', cpu = 66.6, mem = 0.7, time = "0:00.80"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 121500.0, shr = 21496.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.81"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 122028.0, shr = 22024.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.82"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 122556.0, shr = 22552.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.83"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 122820.0, shr = 22816.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.84"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 123348.0, shr = 23344.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.85"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 123876.0, shr = 23872.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.86"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 124140.0, shr = 24136.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.88"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 124404.0, shr = 24400.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.89"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 124668.0, shr = 24664.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.91"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 124932.0, shr = 24928.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.92"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 125196.0, shr = 25192.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.93"}
