Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 125260.0, res = 22176.0, shr = 13240.0, s = 'S', cpu = 59.9, mem = 0.1, time = "0:00.09"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 135760.0, res = 37016.0, shr = 17236.0, s = 'R', cpu = 99.8, mem = 0.2, time = "0:00.24"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 191696.0, res = 78380.0, shr = 18236.0, s = 'R', cpu = 99.9, mem = 0.5, time = "0:00.39"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 218320.0, res = 105668.0, shr = 18980.0, s = 'R', cpu = 99.9, mem = 0.6, time = "0:00.55"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 234364.0, res = 121728.0, shr = 19916.0, s = 'R', cpu = 99.9, mem = 0.7, time = "0:00.70"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 121384.0, shr = 21284.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:00.73"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 121912.0, shr = 21812.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:00.75"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 122440.0, shr = 22340.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.76"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 122704.0, shr = 22604.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.77"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 123232.0, shr = 23132.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.78"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 123760.0, shr = 23660.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.79"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 124024.0, shr = 23924.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.81"}
Top {pid = 7259, user = "fiendfa+", pr = 20, ni = 0, virt = 232840.0, res = 124552.0, shr = 24452.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.82"}
