Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 125604.0, res = 25448.0, shr = 15216.0, s = 'R', cpu = 66.5, mem = 0.2, time = "0:00.10"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 139496.0, res = 40752.0, shr = 17336.0, s = 'R', cpu = 99.8, mem = 0.2, time = "0:00.25"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 194760.0, res = 81172.0, shr = 18212.0, s = 'R', cpu = 100.0, mem = 0.5, time = "0:00.41"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 218312.0, res = 105724.0, shr = 18956.0, s = 'R', cpu = 93.2, mem = 0.6, time = "0:00.55"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 228216.0, res = 116164.0, shr = 19872.0, s = 'R', cpu = 93.2, mem = 0.7, time = "0:00.70"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 121348.0, shr = 21236.0, s = 'S', cpu = 46.6, mem = 0.7, time = "0:00.77"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 121876.0, shr = 21748.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.79"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 122140.0, shr = 22012.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.80"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 122668.0, shr = 22528.0, s = 'R', cpu = 6.7, mem = 0.7, time = "0:00.81"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 123196.0, shr = 23040.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.82"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 123460.0, shr = 23300.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.84"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 123724.0, shr = 23552.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:00.85"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 124252.0, shr = 24068.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.86"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 124516.0, shr = 24320.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.88"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 124780.0, shr = 24580.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.89"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125044.0, shr = 24828.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.91"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125308.0, shr = 25088.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.92"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125308.0, shr = 25088.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.94"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125572.0, shr = 25336.0, s = 'S', cpu = 6.6, mem = 0.8, time = "0:00.95"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125836.0, shr = 25584.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.96"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125836.0, shr = 25584.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:00.99"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126100.0, shr = 25824.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.00"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126364.0, shr = 26072.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.02"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126364.0, shr = 26072.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.03"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126364.0, shr = 26072.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.04"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126628.0, shr = 26336.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.06"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126628.0, shr = 26336.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.07"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126892.0, shr = 26600.0, s = 'S', cpu = 6.6, mem = 0.8, time = "0:01.08"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126892.0, shr = 26600.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.10"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127156.0, shr = 26864.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.12"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127156.0, shr = 26864.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.14"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127156.0, shr = 26864.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.15"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127156.0, shr = 26864.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.16"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.18"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.20"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.22"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.23"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.25"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127420.0, shr = 27128.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.26"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.28"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.30"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.32"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.34"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.36"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.38"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.41"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.43"}
Top {pid = 598, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.44"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127684.0, shr = 27392.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.46"}
