PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
9282 fiendfa+ 20 0 124780 21836 13240 S 59.9 0.1 0:00.09 Main
[1m29282 fiendfa+ 20 0 134460 34024 15592 R 99.8 0.2 0:00.24 Main
[1m29282 fiendfa+ 20 0 191904 77420 17760 R 99.9 0.5 0:00.39 Main
[1m29282 fiendfa+ 20 0 218528 105404 18952 R 99.9 0.6 0:00.54 Main
[1m29282 fiendfa+ 20 0 220988 109304 19780 R 99.9 0.7 0:00.70 Main
9282 fiendfa+ 20 0 232776 121236 21232 S 66.6 0.7 0:00.80 Main
9282 fiendfa+ 20 0 232776 121500 21496 S 6.7 0.7 0:00.81 Main
9282 fiendfa+ 20 0 232776 122028 22024 S 6.7 0.7 0:00.82 Main
9282 fiendfa+ 20 0 232776 122556 22552 S 6.7 0.7 0:00.83 Main
9282 fiendfa+ 20 0 232776 122820 22816 S 6.7 0.7 0:00.84 Main
9282 fiendfa+ 20 0 232776 123348 23344 S 6.7 0.8 0:00.85 Main
9282 fiendfa+ 20 0 232776 123876 23872 S 6.7 0.8 0:00.86 Main
9282 fiendfa+ 20 0 232776 124140 24136 S 13.3 0.8 0:00.88 Main
9282 fiendfa+ 20 0 232776 124404 24400 S 6.7 0.8 0:00.89 Main
9282 fiendfa+ 20 0 232776 124668 24664 S 13.3 0.8 0:00.91 Main
9282 fiendfa+ 20 0 232776 124932 24928 S 6.7 0.8 0:00.92 Main
9282 fiendfa+ 20 0 232776 125196 25192 S 6.7 0.8 0:00.93 Main
9282 fiendfa+ 20 0 232776 125460 25452 S 6.7 0.8 0:00.94 Main
9282 fiendfa+ 20 0 232776 125724 25716 S 13.3 0.8 0:00.96 Main
9282 fiendfa+ 20 0 232776 125724 25716 S 6.7 0.8 0:00.97 Main
9282 fiendfa+ 20 0 232776 125988 25980 S 6.7 0.8 0:00.98 Main
9282 fiendfa+ 20 0 232776 126252 26244 S 13.3 0.8 0:01.00 Main
9282 fiendfa+ 20 0 232776 126252 26244 S 13.3 0.8 0:01.02 Main
9282 fiendfa+ 20 0 232776 126516 26500 S 6.7 0.8 0:01.03 Main
9282 fiendfa+ 20 0 232776 126516 26500 S 6.7 0.8 0:01.04 Main
9282 fiendfa+ 20 0 232776 126516 26500 S 13.3 0.8 0:01.06 Main
9282 fiendfa+ 20 0 232776 126780 26748 S 6.7 0.8 0:01.07 Main
9282 fiendfa+ 20 0 232776 126780 26748 S 6.7 0.8 0:01.08 Main
9282 fiendfa+ 20 0 232776 126780 26748 S 6.7 0.8 0:01.09 Main
9282 fiendfa+ 20 0 232776 127044 26976 S 6.7 0.8 0:01.11 Main
9282 fiendfa+ 20 0 232776 127044 26976 S 13.3 0.8 0:01.13 Main
9282 fiendfa+ 20 0 232776 127044 26976 S 6.7 0.8 0:01.14 Main
9282 fiendfa+ 20 0 232776 127308 27208 S 13.3 0.8 0:01.16 Main
9282 fiendfa+ 20 0 232776 127308 27208 S 6.7 0.8 0:01.17 Main
9282 fiendfa+ 20 0 232776 127308 27208 S 6.7 0.8 0:01.18 Main
9282 fiendfa+ 20 0 232776 127308 27208 S 13.3 0.8 0:01.20 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 6.7 0.8 0:01.21 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 13.3 0.8 0:01.23 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 13.3 0.8 0:01.25 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 6.7 0.8 0:01.26 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 13.3 0.8 0:01.28 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 13.3 0.8 0:01.30 Main
9282 fiendfa+ 20 0 232776 127572 27380 S 6.7 0.8 0:01.31 Main
[1m29282 fiendfa+ 20 0 232776 127836 27544 R 13.2 0.8 0:01.33 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 20.0 0.8 0:01.36 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.38 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.39 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.41 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.42 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.44 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 20.0 0.8 0:01.47 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.48 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.50 Main
[1m29282 fiendfa+ 20 0 232776 127836 27544 R 13.3 0.8 0:01.52 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.53 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.54 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 20.0 0.8 0:01.57 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.59 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.60 Main
[1m29282 fiendfa+ 20 0 232776 127836 27544 R 13.3 0.8 0:01.62 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.63 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.64 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 20.0 0.8 0:01.67 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.69 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.71 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.73 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 6.7 0.8 0:01.74 Main
9282 fiendfa+ 20 0 232776 127836 27544 S 13.3 0.8 0:01.76 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.77 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:01.79 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:01.81 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.82 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:01.83 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:01.85 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 0.0 0.8 0:01.85 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 13.3 0.8 0:01.87 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:01.89 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.90 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 13.3 0.8 0:01.92 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.93 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.94 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 13.3 0.8 0:01.96 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.97 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:01.98 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.00 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.02 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.03 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.04 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.06 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.07 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.08 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.09 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.11 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.13 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.14 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.15 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.17 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.18 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.19 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 13.3 0.8 0:02.21 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.23 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:02.24 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.25 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.26 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 13.3 0.8 0:02.28 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.29 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.30 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.32 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.34 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.35 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:02.36 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.38 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.39 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.40 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.41 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.43 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.45 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.46 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.47 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.49 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.50 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.51 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:02.52 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.54 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.56 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:02.57 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.58 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.60 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:02.61 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.62 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.63 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.65 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.67 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.68 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.69 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.71 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.72 Main
[1m29282 fiendfa+ 20 0 232776 128100 27808 R 6.7 0.8 0:02.73 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.74 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.76 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 13.3 0.8 0:02.78 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.79 Main
9282 fiendfa+ 20 0 232776 128100 27808 S 6.7 0.8 0:02.80 Main
