Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 124780.0, res = 21584.0, shr = 13056.0, s = 'R', cpu = 59.8, mem = 0.1, time = "0:00.09"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 134468.0, res = 34012.0, shr = 15584.0, s = 'R', cpu = 86.5, mem = 0.2, time = "0:00.22"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 189856.0, res = 76140.0, shr = 17764.0, s = 'R', cpu = 93.2, mem = 0.5, time = "0:00.36"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 212384.0, res = 99900.0, shr = 18956.0, s = 'R', cpu = 99.9, mem = 0.6, time = "0:00.52"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 223060.0, res = 111352.0, shr = 19784.0, s = 'R', cpu = 99.8, mem = 0.7, time = "0:00.67"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 112548.0, shr = 20976.0, s = 'S', cpu = 86.5, mem = 0.7, time = "0:00.81"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 113072.0, shr = 21500.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.82"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 113600.0, shr = 22028.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.83"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 113864.0, shr = 22292.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.84"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 114392.0, shr = 22820.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:00.86"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 114656.0, shr = 23084.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.87"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 115184.0, shr = 23612.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.88"}
Top {pid = 2521, user = "fiendfa+", pr = 20, ni = 0, virt = 224088.0, res = 115448.0, shr = 23876.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.89"}
