Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 125604.0, res = 25712.0, shr = 15312.0, s = 'R', cpu = 73.2, mem = 0.2, time = "0:00.11"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 155880.0, res = 41812.0, shr = 17444.0, s = 'R', cpu = 99.8, mem = 0.3, time = "0:00.26"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 195784.0, res = 82496.0, shr = 18216.0, s = 'R', cpu = 100.0, mem = 0.5, time = "0:00.42"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 218720.0, res = 106868.0, shr = 19716.0, s = 'R', cpu = 93.2, mem = 0.7, time = "0:00.56"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 231808.0, res = 119840.0, shr = 19876.0, s = 'R', cpu = 99.9, mem = 0.7, time = "0:00.72"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 121336.0, shr = 21240.0, s = 'S', cpu = 33.3, mem = 0.7, time = "0:00.77"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 121864.0, shr = 21752.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.78"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 122392.0, shr = 22268.0, s = 'S', cpu = 6.7, mem = 0.7, time = "0:00.79"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 122656.0, shr = 22532.0, s = 'S', cpu = 13.3, mem = 0.7, time = "0:00.81"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 123184.0, shr = 23044.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:00.83"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 123448.0, shr = 23304.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.84"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 123712.0, shr = 23556.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.86"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 124240.0, shr = 24064.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.87"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 124504.0, shr = 24324.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.88"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 124768.0, shr = 24584.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.89"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125032.0, shr = 24836.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.91"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125296.0, shr = 25092.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.92"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125296.0, shr = 25092.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.94"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125560.0, shr = 25336.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.95"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 125824.0, shr = 25592.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:00.97"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126088.0, shr = 25852.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:00.98"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126352.0, shr = 26108.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.00"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126352.0, shr = 26108.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.01"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126352.0, shr = 26108.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.02"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126616.0, shr = 26360.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.04"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126616.0, shr = 26360.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.06"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126880.0, shr = 26604.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.07"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126880.0, shr = 26604.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.09"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 126880.0, shr = 26604.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.10"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127144.0, shr = 26852.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:01.11"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127144.0, shr = 26852.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.13"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127144.0, shr = 26852.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.15"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127144.0, shr = 26852.0, s = 'R', cpu = 13.3, mem = 0.8, time = "0:01.17"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127408.0, shr = 27116.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.19"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127408.0, shr = 27116.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.20"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127408.0, shr = 27116.0, s = 'S', cpu = 20.0, mem = 0.8, time = "0:01.23"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127408.0, shr = 27116.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.24"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127408.0, shr = 27116.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.25"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127408.0, shr = 27116.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.26"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.28"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.30"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.32"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.33"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.35"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.37"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.38"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'R', cpu = 20.0, mem = 0.8, time = "0:01.41"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.43"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127672.0, shr = 27380.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.45"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.47"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.49"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:01.50"}
Top {pid = 8497, user = "fiendfa+", pr = 20, ni = 0, virt = 232836.0, res = 127936.0, shr = 27644.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:01.52"}
