PID USER PR NI VIRT RES SHR S %CPU %MEM TIME+ COMMAND
[1m12521 fiendfa+ 20 0 124780 21584 13056 R 59.8 0.1 0:00.09 Main
[1m12521 fiendfa+ 20 0 134468 34012 15584 R 86.5 0.2 0:00.22 Main
[1m12521 fiendfa+ 20 0 189856 76140 17764 R 93.2 0.5 0:00.36 Main
[1m12521 fiendfa+ 20 0 212384 99900 18956 R 99.9 0.6 0:00.52 Main
[1m12521 fiendfa+ 20 0 223060 111352 19784 R 99.8 0.7 0:00.67 Main
2521 fiendfa+ 20 0 224088 112548 20976 S 86.5 0.7 0:00.81 Main
2521 fiendfa+ 20 0 224088 113072 21500 S 6.7 0.7 0:00.82 Main
2521 fiendfa+ 20 0 224088 113600 22028 S 6.7 0.7 0:00.83 Main
2521 fiendfa+ 20 0 224088 113864 22292 S 6.7 0.7 0:00.84 Main
2521 fiendfa+ 20 0 224088 114392 22820 S 13.3 0.7 0:00.86 Main
2521 fiendfa+ 20 0 224088 114656 23084 S 6.7 0.7 0:00.87 Main
2521 fiendfa+ 20 0 224088 115184 23612 S 6.7 0.7 0:00.88 Main
2521 fiendfa+ 20 0 224088 115448 23876 S 6.7 0.7 0:00.89 Main
2521 fiendfa+ 20 0 224088 115712 24140 S 13.3 0.7 0:00.92 Main
2521 fiendfa+ 20 0 224088 115976 24404 S 6.7 0.7 0:00.93 Main
2521 fiendfa+ 20 0 224088 116240 24668 S 6.7 0.7 0:00.94 Main
2521 fiendfa+ 20 0 224088 116504 24932 S 13.3 0.7 0:00.96 Main
2521 fiendfa+ 20 0 224088 116768 25196 S 6.7 0.7 0:00.97 Main
2521 fiendfa+ 20 0 224088 116768 25196 S 6.7 0.7 0:00.98 Main
2521 fiendfa+ 20 0 224088 117032 25456 S 13.3 0.7 0:01.00 Main
2521 fiendfa+ 20 0 224088 117032 25456 S 6.7 0.7 0:01.01 Main
[1m12521 fiendfa+ 20 0 224088 117296 25720 R 6.7 0.7 0:01.02 Main
2521 fiendfa+ 20 0 224088 117560 25984 S 13.3 0.7 0:01.04 Main
2521 fiendfa+ 20 0 224088 117560 25984 S 13.3 0.7 0:01.06 Main
2521 fiendfa+ 20 0 224088 117560 25984 S 6.7 0.7 0:01.07 Main
2521 fiendfa+ 20 0 224088 117824 26248 S 13.3 0.7 0:01.09 Main
2521 fiendfa+ 20 0 224088 118088 26512 S 13.3 0.7 0:01.11 Main
2521 fiendfa+ 20 0 224088 118088 26512 S 6.7 0.7 0:01.12 Main
2521 fiendfa+ 20 0 224088 118088 26512 S 13.3 0.7 0:01.14 Main
2521 fiendfa+ 20 0 224088 118088 26512 S 6.7 0.7 0:01.15 Main
2521 fiendfa+ 20 0 224088 118088 26512 S 13.3 0.7 0:01.17 Main
2521 fiendfa+ 20 0 224088 118352 26776 S 6.7 0.7 0:01.18 Main
2521 fiendfa+ 20 0 224088 118352 26776 S 13.3 0.7 0:01.20 Main
2521 fiendfa+ 20 0 224088 118616 27040 S 6.7 0.7 0:01.21 Main
2521 fiendfa+ 20 0 224088 118616 27040 S 13.3 0.7 0:01.23 Main
2521 fiendfa+ 20 0 224088 118616 27040 S 13.3 0.7 0:01.25 Main
2521 fiendfa+ 20 0 224088 118616 27040 S 13.3 0.7 0:01.27 Main
2521 fiendfa+ 20 0 224088 118616 27040 S 13.3 0.7 0:01.29 Main
2521 fiendfa+ 20 0 224088 118616 27040 S 19.9 0.7 0:01.32 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 13.3 0.7 0:01.34 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 13.3 0.7 0:01.36 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 13.3 0.7 0:01.38 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 6.6 0.7 0:01.39 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 20.0 0.7 0:01.42 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 6.7 0.7 0:01.43 Main
2521 fiendfa+ 20 0 224088 118880 27304 S 6.7 0.7 0:01.45 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.47 Main
[1m12521 fiendfa+ 20 0 224088 119144 27568 R 13.3 0.7 0:01.49 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.51 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.53 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.55 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.57 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.58 Main
[1m12521 fiendfa+ 20 0 224088 119144 27568 R 20.0 0.7 0:01.61 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.63 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.64 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.66 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.68 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.69 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.71 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.73 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.75 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.78 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.79 Main
[1m12521 fiendfa+ 20 0 224088 119144 27568 R 13.3 0.7 0:01.81 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.83 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.85 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.86 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.87 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.89 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.91 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.92 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.94 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.95 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:01.97 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:01.98 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:02.00 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:02.02 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:02.03 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:02.05 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:02.06 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:02.07 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:02.09 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:02.10 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:02.12 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 6.7 0.7 0:02.13 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:02.15 Main
2521 fiendfa+ 20 0 224088 119144 27568 S 13.3 0.7 0:02.17 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.18 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.20 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:02.21 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.22 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.24 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:02.25 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.27 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.29 Main
[1m12521 fiendfa+ 20 0 224088 119408 27832 R 6.7 0.7 0:02.30 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.32 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.33 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.35 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.36 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.37 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.39 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.40 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 20.0 0.7 0:02.43 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.44 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.46 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.47 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.48 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.50 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.51 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.53 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.54 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.56 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.58 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.59 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.61 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.62 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 13.3 0.7 0:02.64 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.65 Main
2521 fiendfa+ 20 0 224088 119408 27832 S 6.7 0.7 0:02.66 Main
